,state,stateabb,year,binge_all,binge_male,binge_female,poverty
1268,Florida,FL,2017,False,False,False,True
1269,New Mexico,NM,2017,False,False,False,True
1315,Hawaii,HI,2012,False,False,False,True
1340,Puerto Rico,PR,2011,False,False,False,True
1343,Idaho,ID,2018,False,False,False,True
1349,Minnesota,MN,2010,False,False,False,True
1350,Hawaii,HI,2013,False,False,False,True
1370,Wyoming,WY,2018,False,False,False,True
1385,Oklahoma,OK,2016,False,False,False,True
1408,Iowa,IA,2013,False,False,False,True
1434,Nevada,NV,2011,False,False,False,True
1459,New York,NY,2010,False,False,False,True
1460,Washington,WA,2017,False,False,False,True
1463,Massachusetts,MA,2016,False,False,False,True
1476,Ohio,OH,2013,False,False,False,True
1479,Vermont,VT,2013,False,False,False,True
1530,North Carolina,NC,2017,False,False,False,True
1534,Alaska,AK,2012,False,False,False,True
1538,Illinois,IL,2010,False,False,False,True
1567,Connecticut,CT,2016,False,False,False,True
1570,Rhode Island,RI,2018,False,False,False,True
1584,Alabama,AL,2017,False,False,False,True
1621,Maryland,MD,2010,False,False,False,True
1635,Montana,MT,2015,False,False,False,True
1638,Virginia,VA,2016,False,False,False,True
1645,Delaware,DE,2012,False,False,False,True
1661,North Dakota,ND,2016,False,False,False,True
1679,Puerto Rico,PR,2015,False,False,False,True
1680,North Dakota,ND,2012,False,False,False,True
1702,Indiana,IN,2017,False,False,False,True
1716,Connecticut,CT,2012,False,False,False,True
1733,New York,NY,2014,False,False,False,True
1740,Maryland,MD,2014,False,False,False,True
1752,Michigan,MI,2014,False,False,False,True
1758,Virginia,VA,2018,False,False,False,True
1783,Virginia,VA,2017,False,False,False,True
1792,Louisiana,LA,2017,False,False,False,True
1807,Colorado,CO,2012,False,False,False,True
1842,Rhode Island,RI,2012,False,False,False,True
1889,Virginia,VA,2013,False,False,False,True
1906,New Jersey,NJ,2016,False,False,False,True
1908,Michigan,MI,2010,False,False,False,True
1912,Minnesota,MN,2014,False,False,False,True
1930,Colorado,CO,2016,False,False,False,True
1931,United States,US,2013,False,False,False,True
1955,Arkansas,AR,2010,False,False,False,True
1962,Arizona,AZ,2012,False,False,False,True
1971,Pennsylvania,PA,2012,False,False,False,True
2009,New York,NY,2014,False,False,False,True
2015,Missouri,MO,2010,False,False,False,True
2016,South Dakota,SD,2015,False,False,False,True
2021,Kansas,KS,2014,False,False,False,True
2023,Utah,UT,2013,False,False,False,True
2025,Georgia,GA,2010,False,False,False,True
2027,North Dakota,ND,2018,False,False,False,True
2037,Tennessee,TN,2014,False,False,False,True
2051,Vermont,VT,2017,False,False,False,True
2071,Indiana,IN,2013,False,False,False,True
2076,Wisconsin,WI,2012,False,False,False,True
2145,Texas,TX,2010,False,False,False,True
2146,Wyoming,WY,2016,False,False,False,True
2153,Iowa,IA,2017,False,False,False,True
2180,California,CA,2018,False,False,False,True
2214,Louisiana,LA,2014,False,False,False,True
2285,New Jersey,NJ,2011,False,False,False,True
2299,South Carolina,SC,2016,False,False,False,True
2305,Montana,MT,2011,False,False,False,True
2309,Washington,WA,2012,False,False,False,True
2318,Ohio,OH,2017,False,False,False,True
2321,Oregon,OR,2017,False,False,False,True
2322,Illinois,IL,2014,False,False,False,True
2353,Wyoming,WY,2012,False,False,False,True
2366,Rhode Island,RI,2016,False,False,False,True
2368,California,CA,2012,False,False,False,True
2380,Virginia,VA,2012,False,False,False,True
2394,Hawaii,HI,2016,False,False,False,True
2397,Missouri,MO,2011,False,False,False,True
2430,New Mexico,NM,2012,False,False,False,True
2477,Tennessee,TN,2011,False,False,False,True
2488,Utah,UT,2010,False,False,False,True
2523,Alabama,AL,2013,False,False,False,True
2545,Georgia,GA,2013,False,False,False,True
2549,Puerto Rico,PR,2013,False,False,False,True
2580,District of Columbia,DC,2015,False,False,False,True
2589,Indiana,IN,2018,False,False,False,True
2597,Vermont,VT,2014,False,False,False,True
2599,New Hampshire,NH,2016,False,False,False,True
2623,Washington,WA,2016,False,False,False,True
2654,Pennsylvania,PA,2015,False,False,False,True
2659,Florida,FL,2012,False,False,False,True
2692,Idaho,ID,2013,False,False,False,True
2752,Idaho,ID,2017,False,False,False,True
2758,Arizona,AZ,2016,False,False,False,True
2762,New Mexico,NM,2016,False,False,False,True
2765,Delaware,DE,2016,False,False,False,True
2766,Maine,ME,2013,False,False,False,True
2839,Kansas,KS,2018,False,False,False,True
2840,Massachusetts,MA,2011,False,False,False,True
2862,Montana,MT,2013,False,False,False,True
2868,New Jersey,NJ,2015,False,False,False,True
2880,Texas,TX,2014,False,False,False,True
2889,California,CA,2016,False,False,False,True
2890,South Carolina,SC,2011,False,False,False,True
2901,Alaska,AK,2018,False,False,False,True
2914,Alaska,AK,2015,False,False,False,True
2933,Wisconsin,WI,2015,False,False,False,True
2949,Oklahoma,OK,2013,False,False,False,True
2977,New Hampshire,NH,2012,False,False,False,True
3008,Oklahoma,OK,2018,False,False,False,True
3040,Nevada,NV,2015,False,False,False,True
3050,Georgia,GA,2017,False,False,False,True
3068,Maine,ME,2017,False,False,False,True
3105,Puerto Rico,PR,2010,False,False,False,True
3108,South Carolina,SC,2012,False,False,False,True
3116,Massachusetts,MA,2015,False,False,False,True
3153,California,CA,2010,False,False,False,True
3164,Michigan,MI,2011,False,False,False,True
3198,Nevada,NV,2012,False,False,False,True
3208,Mississippi,MS,2012,False,False,False,True
3236,Minnesota,MN,2015,False,False,False,True
3238,South Carolina,SC,2015,False,False,False,True
3275,Oklahoma,OK,2017,False,False,False,True
3278,New Mexico,NM,2018,False,False,False,True
3299,Illinois,IL,2011,False,False,False,True
3310,North Dakota,ND,2013,False,False,False,True
